date,league,season,referee,odds_over25,odds_under25,squad,opponent,venue,goals_for,goals_against,ht_goals_for,ht_goals_against,shots,shots_on_target,corners,fouls,yellow_cards,red_cards,opp_shots,opp_shots_on_target,opp_corners,opp_fouls,odds_win,odds_draw,odds_loss,result,shot_accuracy,shot_conversion,opp_shot_accuracy,shot_dominance,corner_dominance,discipline_index,foul_rate,second_half_goals,clean_sheet,implied_win_prob,implied_draw_prob,implied_loss_prob,over25_implied,match_points,rolling_form_5,rolling_goals_5,rolling_conceded_5
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Barcelona,Home,0,1,0,0,8,2,2,16,3,0,10,4,4,11,,,,L,0.25,0.0,0.4,0.4444444444444444,0.3333333333333333,30,16,0,0,0.35359109538829203,,,0.5052356020942408,0,0.0,0.0,1.0
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Eibar,Away,0,2,0,1,9,1,4,13,2,0,9,8,11,14,,,,L,0.1111111111111111,0.0,0.8888888888888888,0.5,0.26666666666666666,20,13,0,0,0.35359109538829203,,,0.5052356020942408,0,0.0,0.0,1.5
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Getafe,Home,3,1,2,0,14,6,12,12,1,0,11,3,5,15,,,,W,0.42857142857142855,0.21428571428571427,0.2727272727272727,0.56,0.7058823529411765,10,12,1,0,0.35359109538829203,,,0.5052356020942408,3,1.0,1.0,1.3333333333333333
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Villarreal,Away,1,3,0,1,11,2,4,6,4,0,14,7,9,17,,,,L,0.18181818181818182,0.09090909090909091,0.5,0.44,0.3076923076923077,40,6,1,0,0.35359109538829203,,,0.5052356020942408,0,0.75,1.0,1.75
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Real Madrid,Home,1,2,0,1,11,5,6,17,4,0,22,6,8,10,,,,L,0.45454545454545453,0.09090909090909091,0.2727272727272727,0.3333333333333333,0.42857142857142855,40,17,1,0,0.35359109538829203,,,0.5052356020942408,0,0.6,1.0,1.8
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Sociedad,Away,0,0,0,0,9,2,2,19,4,0,14,4,4,15,,,,D,0.2222222222222222,0.0,0.2857142857142857,0.391304347826087,0.3333333333333333,40,19,0,1,0.35359109538829203,,,0.5052356020942408,1,0.8,1.0,1.6
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Valencia,Home,3,1,1,1,16,7,11,12,0,0,9,4,4,9,,,,W,0.4375,0.1875,0.4444444444444444,0.64,0.7333333333333333,0,12,2,0,0.35359109538829203,,,0.5052356020942408,3,1.4,1.6,1.4
,SPA-La Liga,2015-2016,,,,Ath Bilbao,La Coruna,Away,2,2,1,0,7,2,6,18,2,0,16,3,4,8,,,,D,0.2857142857142857,0.2857142857142857,0.1875,0.30434782608695654,0.6,20,18,1,0,0.35359109538829203,,,0.5052356020942408,1,1.0,1.4,1.6
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Sp Gijon,Home,3,0,2,0,20,6,9,8,1,0,6,0,3,15,,,,W,0.3,0.15,0.0,0.7692307692307693,0.75,10,8,1,1,0.35359109538829203,,,0.5052356020942408,3,1.6,1.8,1.0
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Betis,Away,3,1,2,0,23,9,9,13,4,0,11,3,7,9,,,,W,0.391304347826087,0.13043478260869565,0.2727272727272727,0.6764705882352942,0.5625,40,13,1,0,0.35359109538829203,,,0.5052356020942408,3,2.2,2.2,0.8
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Espanol,Home,2,1,1,0,8,2,4,17,2,0,5,1,5,25,,,,W,0.25,0.25,0.2,0.6153846153846154,0.4444444444444444,20,17,1,0,0.35359109538829203,,,0.5052356020942408,3,2.6,2.6,1.0
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Granada,Away,0,2,0,1,11,6,7,15,3,0,8,1,2,21,,,,L,0.5454545454545454,0.0,0.125,0.5789473684210527,0.7777777777777778,30,15,0,0,0.35359109538829203,,,0.5052356020942408,0,2.0,2.0,1.2
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Vallecano,Away,3,0,2,0,10,4,2,14,0,1,15,3,6,16,,,,W,0.4,0.3,0.2,0.4,0.25,25,14,1,1,0.35359109538829203,,,0.5052356020942408,3,2.4,2.2,0.8
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Malaga,Home,0,0,0,0,11,2,6,7,2,1,7,2,1,21,,,,D,0.18181818181818182,0.0,0.2857142857142857,0.6111111111111112,0.8571428571428571,45,7,0,1,0.35359109538829203,,,0.5052356020942408,1,2.0,1.6,0.8
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Ath Madrid,Away,1,2,1,1,10,5,6,10,1,0,8,4,3,13,,,,L,0.5,0.1,0.5,0.5555555555555556,0.6666666666666666,10,10,0,0,0.35359109538829203,,,0.5052356020942408,0,1.4,1.2,1.0
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Levante,Home,2,0,0,0,18,7,10,15,0,0,6,1,3,17,,,,W,0.3888888888888889,0.1111111111111111,0.16666666666666666,0.75,0.7692307692307693,0,15,2,1,0.35359109538829203,,,0.5052356020942408,3,1.4,1.2,0.8
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Celta,Away,1,0,0,0,13,5,3,11,4,0,7,3,3,11,,,,W,0.38461538461538464,0.07692307692307693,0.42857142857142855,0.65,0.5,40,11,1,1,0.35359109538829203,,,0.5052356020942408,3,2.0,1.4,0.4
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Las Palmas,Home,2,2,1,0,16,5,5,24,3,0,11,5,5,13,,,,D,0.3125,0.125,0.45454545454545453,0.5925925925925926,0.5,30,24,1,0,0.35359109538829203,,,0.5052356020942408,1,1.6,1.2,0.8
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Sevilla,Away,0,2,0,1,11,3,8,13,3,0,4,4,6,14,,,,L,0.2727272727272727,0.0,1.0,0.7333333333333333,0.5714285714285714,30,13,0,0,0.35359109538829203,,,0.5052356020942408,0,1.4,1.2,1.2
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Barcelona,Away,0,6,0,2,9,3,2,7,2,1,20,8,6,6,,,,L,0.3333333333333333,0.0,0.4,0.3103448275862069,0.25,45,7,0,0,0.35359109538829203,,,0.5052356020942408,0,1.4,1.0,2.0
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Eibar,Home,5,2,3,1,10,5,7,13,2,0,9,2,2,14,,,,W,0.5,0.5,0.2222222222222222,0.5263157894736842,0.7777777777777778,20,13,2,0,0.35359109538829203,,,0.5052356020942408,3,1.4,1.6,2.4
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Getafe,Away,1,0,1,0,13,3,5,18,5,0,11,3,7,13,,,,W,0.23076923076923078,0.07692307692307693,0.2727272727272727,0.5416666666666666,0.4166666666666667,50,18,0,1,0.35359109538829203,,,0.5052356020942408,3,1.4,1.6,2.4
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Villarreal,Home,0,0,0,0,10,1,5,19,4,1,2,2,3,20,,,,D,0.1,0.0,1.0,0.8333333333333334,0.625,65,19,0,1,0.35359109538829203,,,0.5052356020942408,1,1.4,1.2,2.0
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Real Madrid,Away,2,4,1,3,10,3,2,8,2,0,19,9,5,6,,,,L,0.3,0.2,0.47368421052631576,0.3448275862068966,0.2857142857142857,20,8,1,0,0.35359109538829203,,,0.5052356020942408,0,1.4,1.6,2.4
,SPA-La Liga,2015-2016,,,,Ath Bilbao,Sociedad,Home,0,1,0,1,9,2,9,21,7,0,9,4,3,16,,,,L,0.2222222222222222,0.0,0.4444444444444444,0.5,0.75,70,21,0,0,0.35359109538829203,,,0.5052356020942408,0,1.4,1.6,1.4
